"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.932741750E0,-9.862989807E-1,3.165167999E0,9.145232391E0,9.727607601E0
1.942722750E0,-1.004710693E0,3.183280334E0,9.175469513E0,9.763808583E0
1.952703750E0,-1.016835480E0,3.156036987E0,9.194929047E0,9.774520143E0
1.962683750E0,-1.035247192E0,3.158132629E0,9.232800293E0,9.812753931E0
1.972664750E0,-1.035396881E0,3.184477844E0,9.216184845E0,9.805662086E0
1.982645750E0,-1.005010071E0,3.171305237E0,9.215586090E0,9.797665494E0
1.992626750E0,-1.010847931E0,3.166814575E0,9.240883484E0,9.820613813E0
2.002607750E0,-1.011596375E0,3.172502747E0,9.202862549E0,9.786765553E0
2.012588750E0,-1.003812561E0,3.154240723E0,9.171278229E0,9.750344535E0
2.022568750E0,-1.004561005E0,3.144510956E0,9.187594299E0,9.762631867E0
2.032549750E0,-1.029708710E0,3.155438232E0,9.194479980E0,9.775252047E0
2.042530750E0,-1.048868866E0,3.183430023E0,9.181606750E0,9.774264941E0
2.052511750E0,-1.068927155E0,3.186573486E0,9.192683716E0,9.787864412E0
2.062492750E0,-1.075513458E0,3.165916443E0,9.224866791E0,9.812131442E0
2.072473750E0,-1.077609100E0,3.157084808E0,9.245823212E0,9.829225439E0
2.082453750E0,-1.077459412E0,3.162623291E0,9.241033173E0,9.826484568E0
2.092434750E0,-1.054856415E0,3.152294769E0,9.222471771E0,9.803247928E0
2.102415750E0,-1.024619293E0,3.122506714E0,9.224118347E0,9.792050457E0
2.112396750E0,-1.025966492E0,3.133583679E0,9.241482239E0,9.812081731E0
2.122377750E0,-1.013841705E0,3.131488037E0,9.255103912E0,9.822985328E0
2.132358750E0,-1.012793884E0,3.116519165E0,9.265133057E0,9.827570082E0
2.142339750E0,-1.034199371E0,3.144211578E0,9.274563446E0,9.847495210E0
2.152319750E0,-1.066532135E0,3.161276093E0,9.253008270E0,9.836123188E0
2.162300750E0,-1.047072601E0,3.163222046E0,9.210197296E0,9.794389668E0
2.172281750E0,-1.034349060E0,3.166515198E0,9.200317841E0,9.784811947E0
2.182262750E0,-1.021176453E0,3.154689789E0,9.204359436E0,9.783409510E0
2.192243750E0,-9.903405762E-1,3.132984924E0,9.199120331E0,9.768325540E0
2.202224750E0,-9.909393311E-1,3.136876831E0,9.182654572E0,9.754132560E0
2.212204750E0,-9.891430664E-1,3.175197144E0,9.171876984E0,9.756208706E0
2.222185750E0,-9.705816650E-1,3.157084808E0,9.167835388E0,9.744661049E0
2.232166750E0,-9.933343506E-1,3.131488037E0,9.183852081E0,9.753772066E0
2.242147750E0,-1.016835480E0,3.144810333E0,9.231153717E0,9.804997979E0
2.252128750E0,-1.007405090E0,3.147654419E0,9.220525818E0,9.794931838E0
2.262109750E0,-9.855505371E-1,3.126398621E0,9.254056091E0,9.817496236E0
2.272089750E0,-9.925859070E-1,3.121159515E0,9.255253601E0,9.817666868E0
2.282070750E0,-1.031205597E0,3.140469360E0,9.258696442E0,9.831042294E0
2.292051750E0,-1.024768982E0,3.129841461E0,9.169481964E0,9.742969698E0
2.302032750E0,-1.017284546E0,3.141068115E0,9.233997803E0,9.806522940E0
2.312013750E0,-9.969268799E-1,3.115621033E0,9.194030914E0,9.758645504E0
2.321994750E0,-1.035546570E0,3.130589905E0,9.231153717E0,9.802405256E0
2.331975750E0,-1.057251434E0,3.131637726E0,9.238787842E0,9.812244199E0
2.341955750E0,-1.058448944E0,3.124752045E0,9.233399048E0,9.805103135E0
2.351936750E0,-1.068478088E0,3.113076324E0,9.208700409E0,9.779215349E0
2.361917750E0,-1.068627777E0,3.113226013E0,9.187444611E0,9.759266366E0
2.371898750E0,-1.061592407E0,3.103346558E0,9.191336517E0,9.759016614E0
2.381879750E0,-1.056203613E0,3.092868347E0,9.180708618E0,9.745091658E0
2.391860750E0,-1.059945831E0,3.118016052E0,9.214388580E0,9.785216716E0
2.401840750E0,-1.054706726E0,3.153342590E0,9.210346985E0,9.792163568E0
2.411821750E0,-1.045725403E0,3.171754303E0,9.217981110E0,9.804322655E0
2.421802750E0,-1.036295013E0,3.150797882E0,9.264234924E0,9.840095700E0
2.431783750E0,-9.996212769E-1,3.113974457E0,9.261091461E0,9.821603467E0
2.441764750E0,-9.970765686E-1,3.096161499E0,9.225465546E0,9.782105716E0
2.451745750E0,-1.008003845E0,3.119812317E0,9.236991577E0,9.801597525E0
2.461725750E0,-9.918374634E-1,3.126847687E0,9.228908386E0,9.794573396E0
2.471706750E0,-9.849517822E-1,3.079396362E0,9.225914612E0,9.776006976E0
2.481687750E0,-1.027762756E0,3.096760254E0,9.239236908E0,9.798454929E0
2.491668750E0,-1.059197388E0,3.154091034E0,9.248667297E0,9.828938708E0
